date,code,action,shares,price,fee
2025-01-02,300478.SZ,BUY,100,17.3972,0.3479440000000001
2025-01-02,300483.SZ,BUY,100,18.1433,0.362866
2025-01-02,300486.SZ,BUY,100,15.3201,0.306402
2025-01-02,300490.SZ,BUY,100,15.6439,0.31287800000000004
2025-01-02,300504.SZ,BUY,100,18.4714,0.369428
2025-01-02,300506.SZ,BUY,100,14.9204,0.298408
2025-01-02,300511.SZ,BUY,100,10.4402,0.20880400000000002
2025-01-02,300517.SZ,BUY,100,15.1337,0.302674
2025-01-02,300527.SZ,BUY,100,15.6775,0.31355
2025-01-02,300528.SZ,BUY,100,10.6208,0.212416
2025-01-02,300536.SZ,BUY,100,18.3359,0.366718
2025-01-02,300556.SZ,BUY,100,19.5405,0.39081000000000005
2025-01-02,300565.SZ,BUY,100,16.2567,0.325134
2025-01-02,300591.SZ,BUY,300,5.3474,0.320844
2025-01-02,300594.SZ,BUY,100,17.1965,0.34393
2025-01-02,300597.SZ,BUY,200,8.677,0.34708
2025-01-02,300599.SZ,BUY,200,7.8423,0.313692
2025-01-02,300614.SZ,BUY,200,9.3122,0.37248800000000004
2025-01-02,300621.SZ,BUY,100,14.458,0.28916000000000003
2025-01-02,300625.SZ,BUY,100,15.1012,0.302024
2025-01-02,300626.SZ,BUY,100,16.4597,0.32919400000000004
2025-01-02,300635.SZ,BUY,100,15.6201,0.312402
2025-01-02,300637.SZ,BUY,100,17.7646,0.355292
2025-01-02,300640.SZ,BUY,100,17.0758,0.34151600000000004
2025-01-02,300643.SZ,BUY,100,12.2454,0.24490800000000001
2025-01-02,300647.SZ,BUY,100,16.5236,0.330472
2025-01-02,300658.SZ,BUY,100,15.0613,0.301226
2025-01-02,300664.SZ,BUY,200,9.5646,0.38258400000000004
2025-01-02,300665.SZ,BUY,100,13.981,0.27962
2025-01-02,300670.SZ,BUY,100,15.6451,0.312902
2025-01-02,300675.SZ,BUY,100,15.7757,0.31551400000000007
2025-01-02,300682.SZ,BUY,100,18.2779,0.365558
2025-01-02,300686.SZ,BUY,100,13.7136,0.274272
2025-01-02,300692.SZ,BUY,100,16.5024,0.33004800000000006
2025-01-02,300694.SZ,BUY,100,16.4253,0.328506
2025-01-02,300716.SZ,BUY,100,18.1426,0.36285200000000006
2025-01-02,300737.SZ,BUY,200,9.077,0.36308
2025-01-02,300745.SZ,BUY,100,15.469,0.30938
2025-01-02,300746.SZ,BUY,100,12.3514,0.24702800000000003
2025-01-02,300749.SZ,BUY,100,11.5481,0.230962
2025-01-02,300766.SZ,BUY,100,16.8428,0.336856
2025-01-02,300774.SZ,BUY,200,9.0906,0.36362400000000006
2025-01-02,300780.SZ,BUY,100,14.5752,0.291504
2025-01-02,300797.SZ,BUY,100,17.7226,0.354452
2025-01-02,300798.SZ,BUY,200,7.3038,0.292152
2025-01-02,300805.SZ,BUY,100,11.9487,0.23897400000000005
2025-01-02,300821.SZ,BUY,200,8.0655,0.32262
2025-01-02,300824.SZ,BUY,100,16.1687,0.32337400000000005
2025-01-02,300825.SZ,BUY,100,16.5942,0.331884
2025-01-02,300830.SZ,BUY,200,8.0474,0.321896
2025-01-02,300831.SZ,BUY,100,15.5048,0.31009600000000004
2025-01-02,300838.SZ,BUY,100,13.4366,0.268732
2025-01-02,300839.SZ,BUY,100,16.684,0.33368000000000003
2025-01-02,300846.SZ,BUY,100,14.1725,0.28345000000000004
2025-01-02,300854.SZ,BUY,100,12.3475,0.24695
2025-01-02,300867.SZ,BUY,100,12.9901,0.25980200000000003
2025-01-02,300869.SZ,BUY,100,14.0651,0.281302
2025-01-02,300871.SZ,BUY,100,16.0429,0.32085800000000003
2025-01-02,300877.SZ,BUY,100,14.4571,0.289142
2025-01-02,300879.SZ,BUY,100,15.2807,0.305614
